,questions,answers,correct_answers
1098,"Which film has the director died first, Crime Against Joe or Partners Three?",Partners Three.,Partners Three
1099,Where did the director of film 1919 (Film) graduate from?,"Hugh Brody graduated from Trinity College, Oxford.","Trinity College, Oxford"
1100,Who is the paternal grandmother of Lewis Of Luxembourg?,The context does not provide information about the paternal grandmother of Lewis Of Luxembourg.,Mahaut de Châtillon
1101,Who is the stepchild of Æthelred Of Mercia?,Ælfwynn.,Oshere
1102,Where does B. D. Hyman's mother work at?,Hebrew University of Jerusalem.,Warner Brothers
1103,Where did the director of film No Sin On The Alpine Pastures (1950 Film) die?,Austria.,Vienna
1104,Did Dwight Harwood and Velvet (Singer) have the same nationality?,No.,no
1105,Where did the director of film Free Lips die?,"Santa Barbara, California.",Santa Barbara
1106,What is the place of birth of the director of film Breed Of The Border (1924 Film)?,"Rochester, New York.",Rochester
1107,"Which film has the director died later, Hombisilu or O Sport, You Are Peace!?",Hombisilu.,Hombisilu
1108,When is the director of film The Red And The Blue (Film) 's birthday?,Not available in the context.,2 July 1953
1109,"Who is older, Kevin Hennessy or Emilia Bayer?",Kevin Hennessy is older.,Emilia Bayer
1110,"Which film has the director who was born first, The Latin Immigrant or Racing Lady?",The Latin Immigrant.,Racing Lady
1111,Where was the place of death of Anna Of Saxe-Wittenberg's father?,Saxe-Wittenberg.,Celle
1112,Where did the director of film Terminal Entry study?,The context does not specify where Dana Blankstein-Cohen studied.,Temple University
1113,"Which film has the director born first, Betrayal From The East or The Magnificent Beast?",The Magnificent Beast.,Betrayal From The East
1114,Who is the father-in-law of Caroline Amalie Of Augustenburg?,Christian VIII.,Frederick
1115,Do both Dreams In A Drawer and Tifosi (Film) films have the directors from the same country?,No.,yes
1116,"Which film has the director who died earlier, Moonlight And Pretzels or Husmandstøsen?",Moonlight And Pretzels.,Husmandstøsen
1117,"Who is Philippe, Duke Of Anjou's maternal grandfather?",René of Anjou.,Stanisław Leszczyński
1118,"What is the place of birth of the director of film Smile, Brother, Smile?",Not specified.,New York
1119,Who is the paternal grandfather of Ray Knight (Rodeo Organizer)?,Jesse Knight.,Newel Knight
1120,Who is Zwelonke Sigcawu's paternal grandfather?,King Bungeni Zwelidumile Sigcawu.,Bungeni Zwelidumile Sigcawu
1121,Where was the director of film Medal Of Honor (Film) born?,"Juncos, Puerto Rico.",Petroșani
1122,Where was the place of death of the composer of song The Old Master Painter?,"The context does not provide information about the place of death of Beasley Smith, the composer of ""The Old Master Painter.""",Nashville
1123,Who is Rani Mukerji's father-in-law?,The context does not provide information about Rani Mukerji's father-in-law.,Yash Chopra
1124,"Who was born later, H. Hawkline or Jimmy Kennedy?",H. Hawkline.,H. Hawkline
1125,Where did the composer of song Let'S Call The Whole Thing Off die?,"The context does not provide information about the composer of ""Let's Call The Whole Thing Off"" or where they died.",Hollywood
1126,What is the place of birth of the director of film Crystal Nights?,Pireas.,Athens
1127,"Which film has the director died later, The True Story Of Eskimo Nell or Flame Of Stamboul?",The True Story Of Eskimo Nell.,The True Story Of Eskimo Nell
1128,"Which film has the director born later, The Mystic Masseur or The Rewrite?",The Rewrite.,The Rewrite
1129,When was the director of film Slap Her... She'S French born?,1950.,"October 20, 1952"
1130,Are Hopen Church and Spind Church located in the same country?,Yes.,yes
1131,Do director of film Njaan and director of film Oorummadi Brathukulu share the same nationality?,No.,yes
1132,Where did the composer of song The Shepherd On The Rock die?,Vienna.,Vienna
1133,Where was the place of death of the founder of Western Auto?,"Kansas City, Missouri.",California
1134,"Which school was opened first, Carlisle School or Triam Udom Suksa School?",Triam Udom Suksa School.,Triam Udom Suksa School
1135,What is the place of birth of the composer of film The Charming Young Lady (Film)?,Moravské Budějovice.,Moravské Budějovice
1136,Where did Beatrice Of Bohemia's husband die?,Brandenburg an der Havel.,Brandenburg an der Havel
1137,What is the place of birth of the director of film The Admirer?,Not specified in the context.,Kishinev
1138,Who is Archduchess Maria Antonia Of Austria (1899–1977)'s maternal grandfather?,Archduke Franz Karl Joseph of Austria.,"Carlos, Duke of Madrid"
1139,Where did the director of film Carbon (Film) study?,The context does not provide information about where the director of the film Carbon studied.,Film and Television Institute of India
1140,What is the place of birth of the director of film The Merry Wives?,Not specified in the context.,Hradec Králové
1141,"Who died later, Henry Norrström or Wilford Bacon Hoggatt?",Henry Norrström.,Henry Norrström
1142,Where was the place of death of the composer of song Love Is Here To Stay?,Los Angeles.,Hollywood
1143,"Which film was released first, Failure To Launch or Mako: The Jaws Of Death?",Mako: The Jaws of Death.,Mako: The Jaws Of Death
1144,Where does Bernhard Bielenstein's father work at?,At the Riga Mortgage Association.,St. Petersburg Academy of Sciences
1145,"What is the place of birth of Frederick, Prince Of Hohenzollern's mother?",Portugal.,Zürich
1146,Where was the place of death of the performer of song Northwest Passage (Song)?,Berlin.,Greater Cincinnati Airport
1147,Where was the director of film Pistol Whipped born?,Eindhoven.,Dutch
1148,Which country Roman Smoluchowski's father is from?,Turkey.,Austro-Hungarian Empire
1149,"Which film has the director who died later, Akhono Onek Raat or Bitter Rice?",Akhono Onek Raat.,Akhono Onek Raat
1150,"Which film has the director died later, Five Deadly Venoms or Asthram?",Five Deadly Venoms.,Asthram
1151,Where did the director of film The Bride Came C.O.D. die?,"The context does not provide information about the director of ""The Bride Came C.O.D."" or where they died.",New York
1152,Where was the director of film Code Name: The Cleaner born?,Les Mayfield.,"Albuquerque, New Mexico"
1153,Which country the director of film The Notebooks Of Memory is from?,France.,French
1154,"Which film was released first, Ryan'S Daughter or A Day At The Museum?",Ryan's Daughter.,Ryan'S Daughter
1155,"Are Liverpool Boys High School and St Stephen'S School, Perth located in the same country?",No.,yes
1156,Do both directors of films Kangaroo Jack and Executive Action (Film) have the same nationality?,No.,no
1157,"Which film whose director was born first, The Snake Brothers or Olympus Has Fallen?",Olympus Has Fallen.,Olympus Has Fallen
1158,"Where did Sholto Douglas, 15Th Earl Of Morton's father study?","King's College, Cambridge.",King's College
1159,Who is the child-in-law of Marie De Namur?,"Henry II, Graf of Vianden.","Otto, Lord of Arkel"
1160,Where did Princess Margarita Of Greece And Denmark's mother die?,Buckingham Palace in London.,Buckingham Palace
1161,What is the place of birth of the director of film Tammy And The T-Rex?,Stewart Raffill was born in the United Kingdom.,British
1162,What is the place of birth of the director of film Winds Of The Pampas?,Arthur Varney.,Italian
1163,Where did the director of film What Rats Won'T Do die?,"The context does not provide information about the death of the director of ""What Rats Won'T Do.""",Somerset
1164,Who is the spouse of the director of film Vaishnavee?,Sumitra Peries.,Lester James Peries
1165,"Which film has the director born later, A Little Like Drowning or That Woman?",A Little Like Drowning.,That Woman
1166,Where did the director of film Border (2018 Film) graduate from?,The context does not provide information about the educational background of the director of the film Border (2018 Film).,National Film School of Denmark
1167,"Which film came out first, At Sword'S Edge or Crimson Gold?",At Sword's Edge.,At Sword'S Edge
1168,Are Brian Part and John Mosca both from the same country?,No.,yes
1169,Are both Alex Bregman and Francesca Sterlacci from the same country?,No.,yes
1170,What is the date of birth of Lord William Montagu-Douglas-Scott's father?,30 November 1872.,30 March 1864
1171,"Which film has the director who died first, Tex And The Lord Of The Deep or Henry Goes Arizona?",Tex And The Lord Of The Deep.,Henry Goes Arizona
1172,"Which film whose director was born first, Swamp Women or Tracy Rides?",Swamp Women.,Tracy Rides
1173,"Which film has the director born later, Home Alone 2: Lost In New York or Our Mother'S House?",Home Alone 2: Lost In New York.,Home Alone 2: Lost In New York
1174,Where was the place of death of the director of film Hitch Hike Lady?,The context does not provide information about the place of death of the director of film Hitch Hike Lady.,Los Angeles
1175,"Which one was established first, Windowswear or Compagnie Française Des Métaux?",Compagnie Française Des Métaux.,Compagnie Française Des Métaux
1176,Where was the husband of Katherine De Stafford born?,Suffolk.,English
1177,What is the date of death of Francisco De Benavides's father?,"March 19, 1666.","March 19, 1666"
1178,"Who is Sir William Lowther, 1St Baronet, Of Marske's paternal grandfather?",Christopher Lowther.,Robert Lowther
1179,Was Prince Albert Hunt or Daniel Tauvry born first?,Prince Albert Hunt was born first.,Daniel Tauvry
1180,Who is the paternal grandfather of Conrad Ii Of Italy?,Henry IV.,Henry III
1181,"Which film has the director died later, Taming Sutton'S Gal or Struggle For Eagle Peak?",Struggle For Eagle Peak.,Taming Sutton'S Gal
1182,"Which film has the director who was born first, Cross Of Love or Ljuvlig Är Sommarnatten?",Cross Of Love.,Cross Of Love
1183,Which country the director of film Thundering Mountains is from?,Yugoslavia.,Serbian
1184,"Where does the director of film L'Arbre, Le Maire Et La Médiathèque work at?",Norwegian Museum of Cultural History.,Cahiers du cinéma
1185,Who is Teriimaevarua Iii's paternal grandmother?,The context does not provide information about Teriimaevarua III's paternal grandmother.,Pōmare IV
1186,"Where was the place of burial of John Stafford, 1St Earl Of Wiltshire's father?",Hever Castle.,Northampton
1187,What is the date of death of Bolko V The Hussite's father?,[Final Answer]: Unable to provide an answer with the given context.,6 May 1437
1188,What is the place of birth of Gwladys's husband?,Not specified in the context.,Gwynllwg
1189,"Who died first, Dominick Basso or Ilse Lehiste?",Dominick Basso.,Dominick Basso
1190,Who is the father-in-law of Rahmat Banu Begum?,Chaopha Sutamla.,Aurangzeb
1191,"Which film was released first, Mawali No.1 or Vous Êtes De La Police??",Mawali No.1.,Mawali No.1
1192,"Who is the father of William Ii, Duke Of Bavaria?",Albert I.,"Albert I, Duke of Bavaria"
1193,"Which film has the director who was born later, Common Clay (1919 Film) or I'M From The City?",I'M From The City.,I'M From The City
1194,Which country the director of film Dika: Murder City is from?,Canada.,American
1195,What nationality is Pixie Geldof's father?,English.,Irish
1196,Are both The Trial Of Mary Dugan (1941 Film) and Undisputed (Film) from the same country?,No.,yes
1197,Who is Queen Inseong's mother-in-law?,The context does not provide information about Queen Inseong's mother-in-law.,Queen Janggyeong
1198,Do both My Friend From The Park and Punks (Film) films have the directors from the same country?,No.,no
1199,Which country the director of film Romanoff And Juliet (1961 Film) is from?,United States.,United Kingdom
