,questions,answers,correct_answers
1136,Where did Beatrice Of Bohemia's husband die?,Brandenburg an der Havel.,Brandenburg an der Havel
1137,What is the place of birth of the director of film The Admirer?,"The context does not provide the place of birth for the director of the film ""The Admirer.""",Kishinev
1138,Who is Archduchess Maria Antonia Of Austria (1899–1977)'s maternal grandfather?,"Ferdinand, King of Naples and Sicily.","Carlos, Duke of Madrid"
1139,Where did the director of film Carbon (Film) study?,"There is no information provided about the director of the film ""Carbon"" studying anywhere.",Film and Television Institute of India
1140,What is the place of birth of the director of film The Merry Wives?,Hradec Králové.,Hradec Králové
1141,"Who died later, Henry Norrström or Wilford Bacon Hoggatt?",Wilford Bacon Hoggatt.,Henry Norrström
1142,Where was the place of death of the composer of song Love Is Here To Stay?,Hollywood.,Hollywood
1143,"Which film was released first, Failure To Launch or Mako: The Jaws Of Death?",Mako: The Jaws of Death.,Mako: The Jaws Of Death
1144,Where does Bernhard Bielenstein's father work at?,Riga Mortgage Association.,St. Petersburg Academy of Sciences
1145,"What is the place of birth of Frederick, Prince Of Hohenzollern's mother?","Lisbon, Portugal.",Zürich
1146,Where was the place of death of the performer of song Northwest Passage (Song)?,Berlin.,Greater Cincinnati Airport
1147,Where was the director of film Pistol Whipped born?,Eindhoven.,Dutch
1148,Which country Roman Smoluchowski's father is from?,Poland.,Austro-Hungarian Empire
1149,"Which film has the director who died later, Akhono Onek Raat or Bitter Rice?",Akhono Onek Raat.,Akhono Onek Raat
1150,"Which film has the director died later, Five Deadly Venoms or Asthram?",Asthram.,Asthram
1151,Where did the director of film The Bride Came C.O.D. die?,Los Angeles.,New York
1152,Where was the director of film Code Name: The Cleaner born?,United States.,"Albuquerque, New Mexico"
1153,Which country the director of film The Notebooks Of Memory is from?,Australia.,French
1154,"Which film was released first, Ryan'S Daughter or A Day At The Museum?",Ryan's Daughter.,Ryan'S Daughter
1155,"Are Liverpool Boys High School and St Stephen'S School, Perth located in the same country?",Yes.,yes
1156,Do both directors of films Kangaroo Jack and Executive Action (Film) have the same nationality?,No.,no
1157,"Which film whose director was born first, The Snake Brothers or Olympus Has Fallen?",Olympus Has Fallen.,Olympus Has Fallen
1158,"Where did Sholto Douglas, 15Th Earl Of Morton's father study?","King's College, Cambridge.",King's College
1159,Who is the child-in-law of Marie De Namur?,"Henry II, Graf of Vianden.","Otto, Lord of Arkel"
1160,Where did Princess Margarita Of Greece And Denmark's mother die?,London.,Buckingham Palace
1161,What is the place of birth of the director of film Tammy And The T-Rex?,United Kingdom.,British
1162,What is the place of birth of the director of film Winds Of The Pampas?,Fredrikstad.,Italian
1163,Where did the director of film What Rats Won'T Do die?,Los Angeles.,Somerset
1164,Who is the spouse of the director of film Vaishnavee?,Lester James Peries.,Lester James Peries
1165,"Which film has the director born later, A Little Like Drowning or That Woman?",That Woman.,That Woman
1166,Where did the director of film Border (2018 Film) graduate from?,Tehran University of Art.,National Film School of Denmark
1167,"Which film came out first, At Sword'S Edge or Crimson Gold?",At Sword's Edge.,At Sword'S Edge
1168,Are Brian Part and John Mosca both from the same country?,No.,yes
1169,Are both Alex Bregman and Francesca Sterlacci from the same country?,No.,yes
1170,What is the date of birth of Lord William Montagu-Douglas-Scott's father?,30 November 1872.,30 March 1864
1171,"Which film has the director who died first, Tex And The Lord Of The Deep or Henry Goes Arizona?",Tex And The Lord Of The Deep.,Henry Goes Arizona
1172,"Which film whose director was born first, Swamp Women or Tracy Rides?",Tracy Rides.,Tracy Rides
1173,"Which film has the director born later, Home Alone 2: Lost In New York or Our Mother'S House?",Home Alone 2: Lost In New York.,Home Alone 2: Lost In New York
1174,Where was the place of death of the director of film Hitch Hike Lady?,Los Angeles.,Los Angeles
1175,"Which one was established first, Windowswear or Compagnie Française Des Métaux?",Compagnie Française Des Métaux.,Compagnie Française Des Métaux
1176,Where was the husband of Katherine De Stafford born?,"Wingfield, Suffolk.",English
1177,What is the date of death of Francisco De Benavides's father?,"ca. March 19, 1666.","March 19, 1666"
1178,"Who is Sir William Lowther, 1St Baronet, Of Marske's paternal grandfather?",Christopher Lowther.,Robert Lowther
1179,Was Prince Albert Hunt or Daniel Tauvry born first?,Prince Albert Hunt.,Daniel Tauvry
1180,Who is the paternal grandfather of Conrad Ii Of Italy?,Henry IV.,Henry III
1181,"Which film has the director died later, Taming Sutton'S Gal or Struggle For Eagle Peak?",Struggle for Eagle Peak.,Taming Sutton'S Gal
1182,"Which film has the director who was born first, Cross Of Love or Ljuvlig Är Sommarnatten?",Cross Of Love.,Cross Of Love
1183,Which country the director of film Thundering Mountains is from?,Yugoslavia.,Serbian
1184,"Where does the director of film L'Arbre, Le Maire Et La Médiathèque work at?",France.,Cahiers du cinéma
1185,Who is Teriimaevarua Iii's paternal grandmother?,Princess Moe-a-Mai.,Pōmare IV
1186,"Where was the place of burial of John Stafford, 1St Earl Of Wiltshire's father?",Tonbridge.,Northampton
1187,What is the date of death of Bolko V The Hussite's father?,6 May 1437.,6 May 1437
1188,What is the place of birth of Gwladys's husband?,"Gwynllwg, South Wales.",Gwynllwg
1189,"Who died first, Dominick Basso or Ilse Lehiste?",Dominick Basso.,Dominick Basso
1190,Who is the father-in-law of Rahmat Banu Begum?,Chaopha Sutamla.,Aurangzeb
1191,"Which film was released first, Mawali No.1 or Vous Êtes De La Police??",Vous Êtes De La Police?,Mawali No.1
1192,"Who is the father of William Ii, Duke Of Bavaria?",Albert I.,"Albert I, Duke of Bavaria"
1193,"Which film has the director who was born later, Common Clay (1919 Film) or I'M From The City?",I'M From The City.,I'M From The City
1194,Which country the director of film Dika: Murder City is from?,Canada.,American
1195,What nationality is Pixie Geldof's father?,Irish.,Irish
1196,Are both The Trial Of Mary Dugan (1941 Film) and Undisputed (Film) from the same country?,Yes.,yes
1197,Who is Queen Inseong's mother-in-law?,Queen Janggyeong.,Queen Janggyeong
1198,Do both My Friend From The Park and Punks (Film) films have the directors from the same country?,Yes.,no
1199,Which country the director of film Romanoff And Juliet (1961 Film) is from?,United Kingdom.,United Kingdom
